source_set	n_MAG	GTDBTk_version	GTDB_release	command	source_path_or_input	genome_sha256	output_file	output_sha256	status
existing_all_derep_subset	47	2.4.1	r226	gtdbtk classify_wf --skip_ani_screen --genome_dir ./dereplicated_genomes/ --extension fasta --out_dir classify_wf_out --cpus 100	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/all_50_10_dRep/dereplicated_genomes/gtdbtk.ar53.bac120.summary.tsv	NA	raw_gtdb/gtdbtk_r226_existing_MAG47_summary.tsv	507f92689dec0301dd17a9298cade5f46dd92345e3e6a158cd5b24805c82d6c9	complete
group_derep_only_added_MAG	1	2.4.1	r226	gtdbtk classify_wf --skip_ani_screen --genome_dir input_new_MAG --extension fasta --out_dir output --cpus 32 --pplacer_cpus 32	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/NS/NS_50_10_dRep/dereplicated_genomes/R2111_N500_0-10_bin13.fasta	a7098730a47a541b4d1b32baf923fb9bc63d18c338fdad440fc7400f8a777806	raw_gtdb/R2111_N500_0-10_bin13_gtdbtk.bac120.summary.tsv	f8e3e279c691da0f40a4189388c14001902e69ccb564dd7590f0df449bdef3c5	complete
