MAG	research_category	feature_name	source_type	feature_component_count	components_detected	reconstruction_score_pct	score_ge_50	score_ge_75	quality_habitat	completeness	contamination	score_semantics	completeness_adjustment_factor	completeness_adjusted_score_pct	raw_ge_50	adjusted_ge_50	threshold_flip_50	raw_ge_75	adjusted_ge_75	threshold_flip_75	adjustment_note
C1_12-18_bin19	Carbon	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Previous algorithm: distinct-gene set coverage	10	2	20	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	22.3239200803661	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	Previous algorithm: distinct-gene set coverage	43	15	34.8837209302326	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	38.9370699076154	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Complete nitrification, comammox, ammonia => nitrite => nitrate	Previous algorithm: distinct-gene set coverage	6	1	16.6666666666667	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	18.6032667336385	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	11	5	45.4545454545455	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	50.7361820008321	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	9	6	66.6666666666667	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	74.4130669345538	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	1	1	100	TRUE	TRUE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	100	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Nitrification, ammonia => nitrite	Previous algorithm: distinct-gene set coverage	8	1	12.5	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	13.9524500502288	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Nitrogen fixation, nitrogen => ammonia	Previous algorithm: distinct-gene set coverage	8	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	nitrite + ammonia => nitrogen	Previous algorithm: distinct-gene set coverage	9	2	22.2222222222222	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	24.8043556448512	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Sulfur	Assimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	10	2	20	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	22.3239200803661	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Sulfur	Dissimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	7	5	71.4285714285714	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	79.7282860013075	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	7	3	42.8571428571429	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	47.8369716007846	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	6	3	50	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	55.8098002009153	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Nitrogen	Urea transport system	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Sulfur	Sulfate/thiosulfate transport system	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Sulfur	Sulfonate transport system	Previous algorithm: distinct-gene set coverage	3	2	66.6666666666667	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	74.4130669345538	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Vitamin B12	Cobalamin salvage	Previous algorithm: distinct-gene set coverage	4	1	25	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	27.9049001004576	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Vitamin B12	Vitamin B12 transport system	Previous algorithm: distinct-gene set coverage	3	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	40	13	32.5	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	36.2763701305949	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	6	1	16.6666666666667	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	18.6032667336385	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	34	12	35.2941176470588	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	39.395153082999	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	29	10	34.4827586206897	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	38.4895173799416	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	12	7	58.3333333333333	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	65.1114335677345	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	17	8	47.0588235294118	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	52.5268707773321	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	Previous algorithm: distinct-gene set coverage	11	6	54.5454545454545	TRUE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	60.8834184009984	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin19	Carbon	TCA /Reductive TCA	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE	ES	89.59	2.119	multi-gene partial reconstruction	1.11619600401831	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin24	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	36	0	0	FALSE	FALSE	ES	54.44	9.119	multi-gene partial reconstruction	1.83688464364438	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin24	Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	8	1	12.5	FALSE	FALSE	ES	54.44	9.119	multi-gene partial reconstruction	1.83688464364438	22.9610580455547	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin24	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	25	4	16	FALSE	FALSE	ES	54.44	9.119	multi-gene partial reconstruction	1.83688464364438	29.3901542983101	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin24	Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE	ES	54.44	9.119	multi-gene partial reconstruction	1.83688464364438	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
C1_12-18_bin24	Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	12	0	0	FALSE	FALSE	ES	54.44	9.119	multi-gene partial reconstruction	1.83688464364438	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Sensitivity estimate under random gene loss: min(100, observed gene-set coverage / MAG completeness fraction)
