MAG	research_category	feature_name	source_type	feature_component_count	components_detected	reconstruction_score_pct	score_ge_50	score_ge_75
R2111_N500_0-10_bin13	Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	Previous algorithm: distinct-gene set coverage	43	6	13.953488372093	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Complete nitrification, comammox, ammonia => nitrite => nitrate	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	11	1	9.09090909090909	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	9	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	1	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Nitrification, ammonia => nitrite	Previous algorithm: distinct-gene set coverage	8	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Nitrogen fixation, nitrogen => ammonia	Previous algorithm: distinct-gene set coverage	8	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	nitrite + ammonia => nitrogen	Previous algorithm: distinct-gene set coverage	9	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Sulfur	Assimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	10	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Sulfur	Dissimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	7	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	7	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	6	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Nitrogen	Urea transport system	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Sulfur	Sulfate/thiosulfate transport system	Previous algorithm: distinct-gene set coverage	5	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Sulfur	Sulfonate transport system	Previous algorithm: distinct-gene set coverage	3	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Vitamin B12	Cobalamin salvage	Previous algorithm: distinct-gene set coverage	4	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Vitamin B12	Vitamin B12 transport system	Previous algorithm: distinct-gene set coverage	3	0	0	FALSE	FALSE
R2111_N500_0-10_bin13	Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	40	4	10	FALSE	FALSE
R2111_N500_0-10_bin13	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	6	2	33.3333333333333	FALSE	FALSE
R2111_N500_0-10_bin13	Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	34	2	5.88235294117647	FALSE	FALSE
