research_category	feature_name	source_type	score_semantics	habitat	final_clade	final_clade_name	n_unique_MAG	completeness_mean	completeness_median	mean_raw_score_pct	mean_completeness_adjusted_score_pct	mean_score_delta_pct	raw_prevalence_ge_50_pct	adjusted_prevalence_ge_50_pct	prevalence_ge_50_delta_pct	raw_prevalence_ge_75_pct	adjusted_prevalence_ge_75_pct	prevalence_ge_75_delta_pct
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	15	21.3857998289136	6.3857998289136	0	0	0	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	22.5	43.7402799377916	21.2402799377916	0	0	0	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	15	21.3857998289136	6.3857998289136	0	0	0	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	27.0833333333333	39.1702155421198	12.0868822087864	0	16.6666666666667	16.6666666666667	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	45	45.6435743990263	0.643574399026271	0	0	0	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	22	31.1397149716496	9.13971497164964	0	0	0	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	33.3333333333333	43.0825018245706	9.74916849123727	0	16.6666666666667	16.6666666666667	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	36.75	41.7871329605932	5.03713296059325	5	15	10	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	42.5	54.2992206464801	11.7992206464801	0	100	100	0	0	0
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 2	Unknown/uncertain DMSOR	1	79.77	79.77	10	12.5360411182149	2.53604111821487	0	0	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	16.6666666666667	32.4002073613272	15.7335406946605	0	0	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	13.8888888888889	20.7746115431052	6.88572265421631	0	16.6666666666667	16.6666666666667	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	50	50.7150826655847	0.715082665584745	100	100	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	23.3333333333333	33.2506563076006	9.91732297426728	0	0	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	29.1666666666667	35.9284106472079	6.76174398054124	25	25	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	30.8333333333333	34.6382913109647	3.80495797763135	5	10	5	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	50	63.8814360546825	13.8814360546825	100	100	0	0	0	0
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 2	Unknown/uncertain DMSOR	1	79.77	79.77	33.3333333333333	41.7868037273829	8.45347039404955	0	0	0	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	17.6470588235294	25.1597645046042	7.51270568107482	0	0	0	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	23.5294117647059	45.7414692159913	22.2120574512854	0	0	0	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	17.6470588235294	25.1597645046042	7.51270568107482	0	0	0	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	29.4117647058823	42.4164986007694	13.0047338948871	0	16.6666666666667	16.6666666666667	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	44.1176470588235	44.7486023519865	0.630955293163005	0	0	0	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	21.7647058823529	30.7671959123642	9.00249003001123	0	0	0	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	34.0686274509804	44.3449885029287	10.2763610519483	8.33333333333333	41.6666666666667	33.3333333333333	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	37.7941176470588	43.0486932517042	5.25457560464535	5	20	15	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	41.1764705882353	52.6082414567974	11.4317708685621	0	100	100	0	0	0
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 2	Unknown/uncertain DMSOR	1	79.77	79.77	5.88235294117647	7.37414183424404	1.49178889306757	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	31.0344827586207	44.2464824046488	13.2119996460281	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	17.2413793103448	33.517455891028	16.2760765806832	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	31.0344827586207	44.2464824046488	13.2119996460281	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	26.4367816091954	37.4710616590203	11.0342800498249	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	34.4827586206897	34.9759190797137	0.493160459023962	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	26.2068965517242	38.6324021108829	12.4255055591588	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	27.5862068965517	35.5978900341748	8.0116831376231	0	8.33333333333333	8.33333333333333	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	28.9655172413793	33.1900108530234	4.22449361164413	0	5	5	0	0	0
