itol_order_rank	tree_label	candidate_id	habitat	combined_bitscore_48	idrA_bitscore	aioA_bitscore	idrA_minus_aioA	T640_status	T640_combined_bitscore	note
64	IS|SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9-k141_1360848_3	IS	982.0	1388.8	456.1	932.7	pass_T640_existing_allMAG_tblout	982.0	
65	IS|SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6-k141_196093_82	IS	989.2	1391.3	463.4	927.9	pass_T640_existing_allMAG_tblout	989.2	
66	IS|SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33-k141_110702_26	IS	989.2	1390.6	467.3	923.3	pass_T640_existing_allMAG_tblout	989.2	
67	IS|SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5-k141_222164_2	IS	988.2	1386.1	472.5	913.6	pass_T640_existing_allMAG_tblout	988.2	
68	IS|SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19-k141_364478_5	IS	978.8	1364.2	456.2	908.0	pass_T640_existing_allMAG_tblout	978.8	
69	IS|SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4-k141_708485_189	IS	972.3	1373.4	447.0	926.4	pass_T640_existing_allMAG_tblout	972.3	
70	IS|SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10-k141_377897_3	IS	981.5	1381.5	452.3	929.2	pass_T640_existing_allMAG_tblout	981.5	
71	IS|SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37-k141_569169_31	IS	994.7	1391.1	470.3	920.8	pass_T640_existing_allMAG_tblout	994.7	
72	IS|SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5-k141_98994_2	IS	993.7	1396.4	461.2	935.2	pass_T640_existing_allMAG_tblout	993.7	
73	IS|SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8-k141_832694_5	IS	989.1	1387.2	462.6	924.6	pass_T640_existing_allMAG_tblout	989.1	
74	IS|SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33-k141_1103131_193	IS	987.6	1382.6	461.4	921.2	pass_T640_existing_allMAG_tblout	987.6	
75	IS|SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2-k141_281775_92	IS	988.4	1384.4	462.8	921.6	pass_T640_existing_allMAG_tblout	988.4	
76	IS|SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34-k141_963697_76	IS	994.2	1396.5	464.0	932.5	pass_T640_existing_allMAG_tblout	994.2	
77	IS|SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25-k141_129537_12	IS	990.7	1388.8	462.2	926.6	pass_T640_existing_allMAG_tblout	990.7	
78	IS|SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4-k141_1432391_5	IS	991.0	1391.3	460.2	931.1	pass_T640_existing_allMAG_tblout	991.0	
79	IS|SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29-k141_12975_7	IS	982.2	1383.8	450.2	933.6	pass_T640_existing_allMAG_tblout	982.2	
80	IS|SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15-k141_1498167_38	IS	994.3	1395.4	462.7	932.7	pass_T640_existing_allMAG_tblout	994.3	
81	IS|SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16-k141_1142550_1	IS	992.4	1394.8	460.0	934.8	pass_T640_existing_allMAG_tblout	992.4	
82	IS|SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8-k141_492248_42	IS	990.0	1395.7	454.9	940.8	pass_T640_existing_allMAG_tblout	990.0	
83	IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	IS	1000.0	1398.0	463.9	934.1	pass_T640_existing_allMAG_tblout	1000.0	
84	IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	IS	989.9	1395.5	454.5	941.0	pass_T640_existing_allMAG_tblout	989.9	
85	IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	IS	997.1	1395.5	461.9	933.6	pass_T640_existing_allMAG_tblout	997.1	
86	IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	IS	995.7	1391.1	467.0	924.1	pass_T640_existing_allMAG_tblout	995.7	
